X,Y,group
0.76 ,66.99 ,other bins
0.75 ,86.04 ,other bins
0.78 ,74.42 ,other bins
0.78 ,76.89 ,other bins
0.79 ,66.31 ,other bins
0.78 ,57.12 ,other bins
0.78 ,54.65 ,other bins
0.77 ,53.59 ,other bins
0.75 ,48.63 ,other bins
0.75 ,66.63 ,other bins
0.75 ,78.98 ,other bins
0.72 ,81.43 ,other bins
0.71 ,78.60 ,other bins
0.71 ,77.53 ,other bins
0.67 ,66.91 ,other bins
0.63 ,58.40 ,other bins
0.61 ,54.16 ,other bins
0.62 ,63.34 ,other bins
0.63 ,69.34 ,other bins
0.65 ,51.37 ,other bins
0.61 ,34.03 ,other bins
0.58 ,25.89 ,other bins
0.57 ,15.64 ,other bins
0.54 ,8.92 ,other bins
0.52 ,5.02 ,other bins
0.50 ,-2.41 ,other bins
0.48 ,-5.61 ,other bins
0.48 ,-5.61 ,other bins
0.47 ,-5.97 ,other bins
0.48 ,-10.20 ,other bins
0.50 ,-14.41 ,other bins
0.53 ,-15.80 ,other bins
0.54 ,-15.79 ,other bins
0.59 ,-15.75 ,other bins
0.64 ,-16.06 ,other bins
0.65 ,-16.75 ,other bins
0.68 ,-16.73 ,other bins
0.70 ,-14.60 ,other bins
0.72 ,-12.11 ,other bins
0.75 ,-10.67 ,other bins
0.76 ,-10.31 ,other bins
0.76 ,-9.60 ,other bins
0.67 ,-11.80 ,other bins
0.62 ,-15.37 ,other bins
0.56 ,-17.19 ,other bins
0.52 ,-16.52 ,other bins
0.50 ,-14.06 ,other bins
0.51 ,-11.94 ,other bins
0.59 ,-8.69 ,other bins
0.56 ,-8.01 ,other bins
0.56 ,-8.01 ,other bins
0.57 ,-2.00 ,other bins
0.54 ,-2.38 ,other bins
0.54 ,2.21 ,other bins
0.55 ,0.81 ,other bins
0.56 ,0.81 ,other bins
0.56 ,8.58 ,other bins
0.60 ,20.61 ,other bins
0.61 ,26.97 ,other bins
0.60 ,24.50 ,other bins
0.59 ,40.02 ,other bins
0.59 ,43.54 ,other bins
0.60 ,47.79 ,other bins
0.58 ,44.60 ,other bins
0.58 ,41.42 ,other bins
0.62 ,50.28 ,other bins
0.56 ,50.58 ,other bins
0.56 ,39.64 ,other bins
0.57 ,36.12 ,other bins
0.56 ,18.11 ,other bins
0.51 ,4.30 ,other bins
0.49 ,-2.78 ,other bins
0.49 ,-5.95 ,other bins
0.54 ,-6.97 ,other bins
0.54 ,-4.50 ,other bins
0.51 ,-4.52 ,other bins
0.56 ,-11.89 ,other bins
0.60 ,-12.92 ,other bins
0.62 ,-6.54 ,other bins
0.62 ,8.63 ,other bins
0.58 ,0.13 ,other bins
0.58 ,-3.05 ,other bins
0.59 ,9.66 ,other bins
0.60 ,0.50 ,other bins
0.59 ,-2.68 ,other bins
0.54 ,-3.44 ,other bins
0.52 ,-8.05 ,other bins
0.51 ,-9.82 ,other bins
0.55 ,-12.25 ,other bins
0.59 ,-14.69 ,other bins
0.62 ,-11.84 ,other bins
0.62 ,-5.13 ,other bins
0.62 ,9.34 ,other bins
0.62 ,16.75 ,other bins
0.64 ,34.76 ,other bins
0.63 ,40.06 ,other bins
0.67 ,57.03 ,other bins
0.67 ,59.15 ,other bins
0.73 ,72.26 ,other bins
0.73 ,76.49 ,other bins
0.73 ,76.85 ,other bins
0.73 ,67.67 ,other bins
0.75 ,78.62 ,other bins
0.74 ,81.45 ,other bins
0.74 ,81.79 ,other bins
0.74 ,81.44 ,other bins
0.74 ,76.86 ,other bins
0.75 ,71.92 ,other bins
0.75 ,65.92 ,other bins
0.75 ,58.51 ,other bins
0.75 ,52.16 ,other bins
0.75 ,44.75 ,other bins
0.75 ,38.04 ,other bins
0.75 ,37.33 ,other bins
0.74 ,22.86 ,other bins
0.74 ,18.27 ,other bins
0.74 ,11.21 ,other bins
0.74 ,3.80 ,other bins
0.74 ,0.98 ,other bins
0.74 ,-6.44 ,other bins
0.73 ,-10.33 ,other bins
0.73 ,-10.33 ,other bins
0.73 ,-5.39 ,other bins
0.73 ,-1.15 ,other bins
0.73 ,5.20 ,other bins
0.73 ,11.90 ,other bins
0.73 ,20.37 ,other bins
0.73 ,26.37 ,other bins
0.73 ,32.73 ,other bins
0.73 ,44.73 ,other bins
0.71 ,68.01 ,other bins
0.72 ,77.19 ,other bins
0.72 ,60.96 ,other bins
0.72 ,57.78 ,other bins
0.72 ,44.72 ,other bins
0.69 ,7.63 ,other bins
0.69 ,-2.60 ,other bins
0.72 ,-13.17 ,other bins
0.71 ,-0.47 ,other bins
0.70 ,6.94 ,other bins
0.70 ,14.35 ,other bins
0.70 ,17.88 ,other bins
0.71 ,27.06 ,other bins
0.71 ,35.89 ,other bins
0.71 ,39.06 ,other bins
0.71 ,72.95 ,other bins
0.70 ,73.30 ,other bins
0.70 ,62.70 ,other bins
0.70 ,54.59 ,other bins
0.70 ,41.53 ,other bins
0.70 ,25.64 ,other bins
0.70 ,18.93 ,other bins
0.69 ,9.40 ,other bins
0.68 ,2.33 ,other bins
0.68 ,1.63 ,other bins
0.68 ,19.98 ,other bins
0.68 ,29.86 ,other bins
0.68 ,38.33 ,other bins
0.68 ,52.10 ,other bins
0.68 ,55.63 ,other bins
0.68 ,57.03 ,other bins
0.66 ,37.61 ,other bins
0.66 ,18.90 ,other bins
0.66 ,13.25 ,other bins
0.65 ,4.78 ,other bins
0.64 ,2.30 ,other bins
0.56 ,13.52 ,other bins
0.65 ,55.60 ,other bins
0.62 ,42.16 ,other bins
0.60 ,21.32 ,other bins
0.57 ,5.76 ,other bins
0.58 ,14.60 ,other bins
0.60 ,19.20 ,other bins
0.59 ,15.66 ,other bins
0.64 ,0.54 ,other bins
0.63 ,-1.24 ,other bins
0.59 ,0.48 ,other bins
0.61 ,12.51 ,other bins
0.61 ,6.50 ,other bins
0.61 ,5.45 ,other bins
0.61 ,3.33 ,other bins
0.60 ,-3.03 ,other bins
0.60 ,-10.09 ,other bins
0.61 ,-11.85 ,other bins
0.68 ,-11.79 ,other bins
0.69 ,-4.36 ,other bins
0.69 ,-2.60 ,other bins
0.69 ,-0.48 ,other bins
0.65 ,-1.22 ,other bins
0.63 ,-5.47 ,other bins
0.63 ,-6.18 ,other bins
0.65 ,-6.16 ,other bins
0.65 ,-6.51 ,other bins
0.66 ,-7.22 ,other bins
0.68 ,-7.90 ,other bins
0.69 ,-8.60 ,other bins
0.70 ,-9.30 ,other bins
0.70 ,-9.30 ,other bins
0.70 ,-9.30 ,other bins
0.70 ,-6.47 ,other bins
0.70 ,-4.35 ,other bins
0.70 ,-2.94 ,other bins
0.71 ,-0.47 ,other bins
0.71 ,5.18 ,other bins
0.71 ,6.59 ,other bins
0.71 ,8.01 ,other bins
0.71 ,12.59 ,other bins
0.71 ,18.95 ,other bins
0.71 ,21.42 ,other bins
0.71 ,30.59 ,other bins
0.71 ,35.53 ,other bins
0.71 ,40.48 ,other bins
0.69 ,41.16 ,other bins
0.68 ,47.51 ,other bins
0.65 ,35.13 ,other bins
0.65 ,29.13 ,other bins
0.64 ,25.59 ,other bins
0.63 ,17.82 ,other bins
0.62 ,12.16 ,other bins
0.61 ,19.21 ,other bins
0.61 ,29.09 ,other bins
0.61 ,48.50 ,other bins
0.60 ,52.73 ,other bins
0.57 ,47.77 ,other bins
0.57 ,40.35 ,other bins
0.59 ,12.13 ,other bins
0.59 ,9.31 ,other bins
0.58 ,6.48 ,other bins
0.54 ,6.44 ,other bins
0.53 ,5.02 ,other bins
0.52 ,0.07 ,other bins
0.54 ,9.26 ,other bins
0.55 ,15.99 ,other bins
0.54 ,6.44 ,other bins
0.47 ,-11.97 ,other bins
0.47 ,-11.97 ,other bins
0.49 ,-13.72 ,other bins
0.49 ,-15.48 ,other bins
0.49 ,-16.55 ,other bins
0.49 ,-12.66 ,other bins
0.53 ,-9.80 ,other bins
0.57 ,-12.58 ,other bins
0.58 ,-11.17 ,other bins
0.53 ,-3.80 ,other bins
0.53 ,-6.27 ,other bins
0.57 ,4.70 ,other bins
0.57 ,14.24 ,other bins
0.64 ,42.89 ,other bins
0.66 ,48.90 ,other bins
0.69 ,53.87 ,other bins
0.76 ,56.76 ,other bins
0.73 ,51.79 ,other bins
0.73 ,49.32 ,other bins
0.76 ,72.99 ,other bins
0.75 ,77.21 ,other bins
0.72 ,82.13 ,other bins
0.71 ,79.30 ,other bins
0.70 ,77.88 ,other bins
0.70 ,81.41 ,other bins
0.68 ,67.27 ,other bins
0.69 ,59.16 ,other bins
0.71 ,66.60 ,other bins
0.70 ,74.00 ,other bins
0.69 ,63.05 ,other bins
0.72 ,69.78 ,other bins
0.74 ,66.62 ,other bins
0.76 ,55.70 ,other bins
0.72 ,63.43 ,other bins
0.74 ,61.68 ,other bins
0.65 ,36.89 ,other bins
0.62 ,31.92 ,other bins
0.61 ,34.39 ,other bins
0.65 ,67.24 ,other bins
0.63 ,61.94 ,other bins
0.63 ,40.06 ,other bins
0.63 ,16.05 ,other bins
0.64 ,4.77 ,other bins
0.64 ,3.00 ,other bins
0.79 ,15.13 ,other bins
0.76 ,36.29 ,other bins
0.77 ,23.94 ,other bins
0.78 ,21.48 ,other bins
0.77 ,5.94 ,other bins
0.77 ,3.12 ,other bins
0.77 ,7.00 ,other bins
0.75 ,22.16 ,other bins
0.75 ,29.92 ,other bins
0.75 ,32.75 ,other bins
0.75 ,16.87 ,other bins
0.76 ,9.46 ,other bins
0.76 ,7.69 ,other bins
0.75 ,8.04 ,other bins
0.70 ,38.70 ,other bins
0.69 ,37.99 ,other bins
0.68 ,26.68 ,other bins
0.67 ,23.85 ,other bins
0.66 ,51.02 ,other bins
0.66 ,41.49 ,other bins
0.67 ,30.91 ,other bins
0.66 ,27.73 ,other bins
0.66 ,27.02 ,other bins
0.67 ,30.91 ,other bins
0.71 ,35.54 ,other bins
0.69 ,33.05 ,other bins
0.69 ,33.05 ,other bins
0.68 ,22.10 ,other bins
0.68 ,19.63 ,other bins
0.68 ,15.39 ,other bins
0.68 ,12.56 ,other bins
0.67 ,10.09 ,other bins
0.67 ,9.38 ,other bins
0.66 ,-0.15 ,other bins
0.66 ,-6.15 ,other bins
0.69 ,-7.90 ,other bins
0.74 ,-2.21 ,other bins
0.75 ,-0.08 ,other bins
0.76 ,0.29 ,other bins
0.76 ,-1.13 ,other bins
0.75 ,-4.66 ,other bins
0.75 ,-5.72 ,other bins
0.75 ,10.52 ,other bins
0.77 ,28.88 ,other bins
0.77 ,33.12 ,other bins
0.77 ,37.00 ,other bins
0.77 ,45.47 ,other bins
0.77 ,65.94 ,other bins
0.77 ,70.53 ,other bins
0.73 ,55.67 ,other bins
0.73 ,55.67 ,other bins
0.76 ,63.46 ,other bins
0.77 ,64.89 ,other bins
0.65 ,50.66 ,other bins
0.65 ,50.66 ,other bins
0.64 ,48.88 ,other bins
0.61 ,37.56 ,other bins
0.59 ,34.02 ,other bins
0.59 ,31.90 ,other bins
0.56 ,17.05 ,other bins
0.56 ,15.99 ,other bins
0.59 ,31.55 ,other bins
0.56 ,20.94 ,other bins
0.56 ,20.58 ,other bins
0.58 ,18.83 ,other bins
0.59 ,12.84 ,other bins
0.59 ,8.96 ,other bins
0.59 ,0.84 ,other bins
0.60 ,2.96 ,other bins
0.59 ,12.49 ,other bins
0.62 ,18.16 ,other bins
0.63 ,1.22 ,other bins
0.64 ,1.24 ,other bins
0.67 ,93.38 ,other bins
0.67 ,87.73 ,other bins
0.70 ,83.88 ,other bins
0.70 ,82.82 ,other bins
0.71 ,82.48 ,other bins
0.76 ,85.69 ,other bins
0.76 ,80.75 ,other bins
0.75 ,72.28 ,other bins
0.74 ,59.21 ,other bins
0.60 ,59.44 ,other bins
0.65 ,58.07 ,other bins
0.62 ,54.87 ,other bins
0.59 ,43.90 ,other bins
0.58 ,41.42 ,other bins
0.58 ,41.06 ,other bins
0.59 ,53.78 ,other bins
0.59 ,50.96 ,other bins
0.58 ,48.13 ,other bins
0.57 ,44.23 ,other bins
0.57 ,43.53 ,other bins
0.57 ,43.17 ,other bins
0.61 ,42.86 ,other bins
0.60 ,51.32 ,other bins
0.59 ,22.73 ,other bins
0.58 ,19.89 ,other bins
0.57 ,16.00 ,other bins
0.59 ,4.02 ,other bins
0.61 ,6.51 ,other bins
0.63 ,18.52 ,other bins
0.61 ,11.45 ,other bins
0.32 ,42.25 ,other bins
0.26 ,5.14 ,other bins
0.27 ,10.09 ,other bins
0.28 ,12.92 ,other bins
0.28 ,15.39 ,other bins
0.30 ,22.11 ,other bins
0.31 ,24.95 ,other bins
0.32 ,26.01 ,other bins
0.34 ,28.51 ,other bins
0.35 ,26.40 ,other bins
0.36 ,24.99 ,other bins
0.36 ,23.58 ,other bins
0.36 ,21.46 ,other bins
0.36 ,21.46 ,other bins
0.37 ,14.06 ,other bins
0.38 ,8.77 ,other bins
0.37 ,3.82 ,other bins
0.37 ,0.29 ,other bins
0.37 ,-0.06 ,other bins
0.37 ,-2.88 ,other bins
0.36 ,-8.54 ,other bins
0.35 ,-11.37 ,other bins
0.35 ,-13.49 ,other bins
0.36 ,-15.60 ,other bins
0.35 ,-16.31 ,other bins
0.34 ,-15.61 ,other bins
0.34 ,-15.97 ,other bins
0.34 ,-14.56 ,other bins
0.33 ,-14.21 ,other bins
0.31 ,-13.17 ,other bins
0.32 ,-14.58 ,other bins
0.32 ,-17.05 ,other bins
0.31 ,-17.76 ,other bins
0.30 ,-17.77 ,other bins
0.29 ,-17.77 ,other bins
0.29 ,-18.13 ,other bins
0.29 ,-18.13 ,other bins
0.28 ,-16.37 ,other bins
0.28 ,-14.96 ,other bins
0.27 ,-14.26 ,other bins
0.27 ,-13.91 ,other bins
0.27 ,-12.50 ,other bins
0.28 ,-10.73 ,other bins
0.28 ,-6.85 ,other bins
0.27 ,-6.15 ,other bins
0.26 ,-5.80 ,other bins
0.27 ,-2.62 ,other bins
0.26 ,1.61 ,other bins
0.27 ,5.14 ,other bins
0.29 ,12.22 ,other bins
0.29 ,16.46 ,other bins
0.32 ,21.07 ,other bins
0.35 ,24.62 ,other bins
0.34 ,23.21 ,other bins
0.31 ,15.77 ,other bins
0.31 ,14.71 ,other bins
0.29 ,-0.83 ,other bins
0.29 ,-3.66 ,other bins
0.29 ,3.75 ,other bins
0.29 ,9.75 ,other bins
0.27 ,-0.50 ,other bins
0.27 ,-4.38 ,other bins
0.29 ,-8.60 ,other bins
0.29 ,-8.95 ,other bins
0.30 ,-1.89 ,other bins
0.29 ,1.99 ,other bins
0.29 ,-0.83 ,other bins
0.31 ,3.42 ,other bins
0.32 ,7.66 ,other bins
0.33 ,12.26 ,other bins
0.34 ,17.57 ,other bins
0.35 ,17.57 ,other bins
0.36 ,9.81 ,other bins
0.36 ,2.40 ,other bins
0.34 ,-8.20 ,other bins
0.33 ,-11.04 ,other bins
0.32 ,-11.40 ,other bins
0.32 ,-7.52 ,other bins
0.33 ,6.61 ,other bins
0.33 ,8.73 ,other bins
0.33 ,-1.86 ,other bins
0.33 ,-4.69 ,other bins
0.31 ,-4.70 ,other bins
0.31 ,-5.05 ,other bins
0.30 ,-10.35 ,other bins
0.29 ,-14.60 ,other bins
0.29 ,-14.95 ,other bins
0.32 ,-8.22 ,other bins
0.33 ,-7.51 ,other bins
0.34 ,-7.49 ,other bins
0.35 ,-7.14 ,other bins
0.35 ,-5.02 ,other bins
0.35 ,-3.25 ,other bins
0.35 ,-0.78 ,other bins
0.35 ,2.04 ,other bins
0.35 ,7.69 ,other bins
0.34 ,18.97 ,other bins
0.33 ,19.67 ,other bins
0.31 ,12.95 ,other bins
0.28 ,7.98 ,other bins
0.29 ,6.57 ,other bins
0.31 ,4.48 ,other bins
0.30 ,6.58 ,other bins
0.28 ,1.98 ,other bins
0.32 ,9.78 ,other bins
0.32 ,2.37 ,other bins
0.31 ,-2.23 ,other bins
0.31 ,-3.29 ,other bins
0.34 ,2.39 ,other bins
0.34 ,3.09 ,other bins
0.36 ,7.34 ,other bins
0.36 ,7.34 ,other bins
0.35 ,12.98 ,other bins
0.34 ,14.03 ,other bins
0.33 ,15.43 ,other bins
0.32 ,16.13 ,other bins
0.32 ,17.19 ,other bins
0.31 ,18.24 ,other bins
0.31 ,18.59 ,other bins
0.30 ,10.82 ,other bins
0.30 ,8.00 ,other bins
0.30 ,-1.89 ,other bins
0.30 ,-5.06 ,other bins
0.32 ,2.37 ,other bins
0.35 ,-4.66 ,other bins
0.37 ,-5.00 ,other bins
0.37 ,0.29 ,other bins
0.35 ,16.16 ,other bins
0.37 ,10.53 ,other bins
0.31 ,-0.81 ,other bins
0.29 ,-10.01 ,other bins
0.30 ,-12.12 ,other bins
0.30 ,-13.88 ,other bins
0.31 ,-5.40 ,other bins
0.31 ,-3.99 ,other bins
0.30 ,0.59 ,other bins
0.30 ,0.94 ,other bins
0.54 ,16.33 ,other bins
0.54 ,11.03 ,other bins
0.53 ,9.96 ,other bins
0.52 ,8.90 ,other bins
0.50 ,3.59 ,other bins
0.49 ,0.76 ,other bins
0.48 ,-2.43 ,other bins
0.47 ,-4.91 ,other bins
0.46 ,-6.33 ,other bins
0.46 ,-7.74 ,other bins
0.46 ,-8.09 ,other bins
0.51 ,-9.47 ,other bins
0.51 ,-9.11 ,other bins
0.56 ,-6.95 ,other bins
0.56 ,-4.48 ,other bins
0.55 ,-9.08 ,other bins
0.54 ,-10.14 ,other bins
0.61 ,-5.14 ,other bins
0.60 ,-4.80 ,other bins
0.57 ,-4.82 ,other bins
0.57 ,-4.82 ,other bins
0.64 ,5.83 ,other bins
0.66 ,9.37 ,other bins
0.63 ,5.11 ,other bins
0.65 ,8.30 ,other bins
0.65 ,11.13 ,other bins
0.65 ,19.95 ,other bins
0.64 ,20.65 ,other bins
0.63 ,24.17 ,other bins
0.63 ,23.81 ,other bins
0.63 ,35.11 ,other bins
0.63 ,35.82 ,other bins
0.63 ,34.05 ,other bins
0.62 ,28.75 ,other bins
0.58 ,28.36 ,other bins
0.58 ,28.01 ,other bins
0.59 ,39.31 ,other bins
0.59 ,39.31 ,other bins
0.58 ,36.13 ,other bins
0.70 ,48.23 ,other bins
0.69 ,45.40 ,other bins
0.69 ,44.34 ,other bins
0.72 ,51.78 ,other bins
0.72 ,40.83 ,other bins
0.72 ,36.25 ,other bins
0.73 ,40.85 ,other bins
0.73 ,42.96 ,other bins
0.73 ,46.14 ,other bins
0.74 ,53.21 ,other bins
0.73 ,40.14 ,other bins
0.73 ,37.32 ,other bins
0.73 ,34.50 ,other bins
0.74 ,48.26 ,other bins
0.74 ,44.73 ,other bins
0.74 ,37.68 ,other bins
0.74 ,32.38 ,other bins
0.74 ,26.73 ,other bins
0.73 ,24.26 ,other bins
0.71 ,24.60 ,other bins
0.71 ,27.77 ,other bins
0.69 ,28.11 ,other bins
0.68 ,37.98 ,other bins
0.66 ,33.73 ,other bins
0.65 ,24.89 ,other bins
0.63 ,23.12 ,other bins
0.67 ,11.15 ,other bins
0.67 ,4.09 ,other bins
0.65 ,3.72 ,other bins
0.66 ,5.49 ,other bins
0.66 ,6.20 ,other bins
0.66 ,4.43 ,other bins
0.70 ,4.12 ,other bins
0.67 ,-3.32 ,other bins
0.67 ,-4.03 ,other bins
0.69 ,-1.54 ,other bins
0.72 ,-1.16 ,other bins
0.72 ,-6.81 ,other bins
0.72 ,-7.51 ,other bins
0.72 ,4.14 ,other bins
0.72 ,12.25 ,other bins
0.70 ,12.58 ,other bins
0.69 ,13.28 ,other bins
0.64 ,12.88 ,other bins
0.63 ,12.88 ,other bins
0.62 ,9.69 ,other bins
0.61 ,17.09 ,other bins
0.60 ,17.44 ,other bins
0.59 ,17.79 ,other bins
0.58 ,21.31 ,other bins
0.58 ,23.07 ,other bins
0.61 ,34.38 ,other bins
0.61 ,45.68 ,other bins
0.61 ,56.27 ,other bins
0.80 ,72.67 ,other bins
0.79 ,71.25 ,other bins
0.78 ,71.60 ,other bins
0.75 ,83.92 ,other bins
0.72 ,84.61 ,other bins
0.72 ,84.61 ,other bins
0.73 ,86.37 ,other bins
0.73 ,85.67 ,other bins
0.75 ,77.57 ,other bins
0.76 ,77.93 ,other bins
0.77 ,78.29 ,other bins
0.75 ,74.39 ,other bins
0.74 ,73.32 ,other bins
0.74 ,69.09 ,other bins
0.74 ,64.50 ,other bins
0.76 ,60.29 ,other bins
0.76 ,60.29 ,other bins
0.67 ,67.27 ,other bins
0.67 ,68.32 ,other bins
0.65 ,64.78 ,other bins
0.65 ,61.60 ,other bins
0.65 ,61.96 ,other bins
0.66 ,70.43 ,other bins
0.69 ,71.16 ,other bins
0.70 ,71.17 ,other bins
0.69 ,67.29 ,other bins
0.66 ,67.61 ,other bins
0.68 ,76.80 ,other bins
0.68 ,74.33 ,other bins
0.68 ,72.92 ,other bins
0.68 ,70.45 ,other bins
0.69 ,60.23 ,other bins
0.69 ,56.69 ,other bins
0.76 ,4.17 ,other bins
0.76 ,7.70 ,other bins
0.76 ,13.34 ,other bins
0.76 ,18.64 ,other bins
0.76 ,31.69 ,other bins
0.76 ,20.40 ,other bins
0.76 ,15.47 ,other bins
0.77 ,11.24 ,other bins
0.66 ,29.13 ,other bins
0.65 ,28.78 ,other bins
0.64 ,28.76 ,other bins
0.64 ,30.88 ,other bins
0.63 ,30.17 ,other bins
0.63 ,36.87 ,other bins
0.63 ,44.28 ,other bins
0.62 ,34.40 ,other bins
0.62 ,34.40 ,other bins
0.58 ,28.00 ,other bins
0.58 ,33.66 ,other bins
0.58 ,33.65 ,other bins
0.62 ,44.98 ,other bins
0.63 ,50.29 ,other bins
0.66 ,44.32 ,other bins
0.66 ,46.78 ,other bins
0.68 ,43.98 ,other bins
0.67 ,42.56 ,other bins
0.67 ,38.33 ,other bins
0.68 ,33.04 ,other bins
0.71 ,32.01 ,other bins
0.72 ,32.02 ,other bins
0.74 ,25.68 ,other bins
0.74 ,23.57 ,other bins
0.74 ,19.33 ,other bins
0.77 ,-9.59 ,other bins
0.63 ,-8.30 ,other bins
0.63 ,-9.36 ,other bins
0.67 ,-10.39 ,other bins
0.66 ,-10.39 ,other bins
0.64 ,-11.11 ,other bins
0.64 ,-11.12 ,other bins
0.64 ,-11.47 ,other bins
0.67 ,-6.50 ,other bins
0.74 ,7.68 ,other bins
0.72 ,7.66 ,other bins
0.66 ,1.61 ,other bins
0.59 ,-7.28 ,other bins
0.58 ,-8.34 ,other bins
0.58 ,-11.16 ,other bins
0.57 ,-15.76 ,other bins
0.57 ,-17.18 ,other bins
0.62 ,-15.37 ,other bins
0.62 ,-15.72 ,other bins
0.61 ,-16.44 ,other bins
0.59 ,-16.10 ,other bins
0.56 ,6.11 ,other bins
0.55 ,6.46 ,other bins
0.55 ,11.39 ,other bins
0.58 ,10.71 ,other bins
0.33 ,1.67 ,other bins
0.34 ,-1.50 ,other bins
0.34 ,-3.97 ,other bins
0.34 ,-5.38 ,other bins
0.28 ,-11.78 ,other bins
0.36 ,6.99 ,other bins
0.34 ,5.21 ,other bins
0.34 ,5.21 ,other bins
0.34 ,9.44 ,other bins
0.33 ,24.97 ,other bins
0.33 ,24.26 ,other bins
0.30 ,19.29 ,other bins
0.30 ,16.82 ,other bins
0.30 ,15.41 ,other bins
0.78 ,-10.64 ,other bins
0.77 ,-12.41 ,other bins
0.76 ,-12.78 ,other bins
0.75 ,-13.13 ,other bins
0.75 ,-13.49 ,other bins
0.72 ,-15.63 ,other bins
0.70 ,-16.00 ,other bins
0.69 ,-15.30 ,other bins
0.68 ,-9.31 ,other bins
0.65 ,-8.99 ,other bins
0.63 ,-3.36 ,other bins
0.63 ,0.87 ,other bins
0.64 ,-2.65 ,other bins
0.64 ,-4.76 ,other bins
0.62 ,-1.25 ,other bins
0.76 ,0.99 ,other bins
0.73 ,15.43 ,other bins
0.72 ,16.49 ,other bins
0.71 ,16.48 ,other bins
0.75 ,17.22 ,other bins
0.74 ,29.57 ,other bins
0.76 ,39.11 ,other bins
0.76 ,40.52 ,other bins
0.76 ,45.81 ,other bins
0.75 ,52.51 ,other bins
0.75 ,56.39 ,other bins
0.78 ,63.83 ,other bins
0.78 ,61.71 ,other bins
0.78 ,58.89 ,other bins
0.77 ,48.30 ,other bins
0.77 ,42.30 ,other bins
0.77 ,40.53 ,other bins
0.78 ,54.65 ,other bins
0.76 ,47.58 ,other bins
0.65 ,37.95 ,other bins
0.60 ,31.21 ,other bins
0.60 ,29.08 ,other bins
0.59 ,28.02 ,other bins
0.62 ,46.75 ,other bins
0.62 ,49.92 ,other bins
0.62 ,59.45 ,other bins
0.61 ,61.57 ,other bins
0.63 ,65.81 ,other bins
0.63 ,65.47 ,other bins
0.64 ,63.71 ,other bins
0.64 ,59.47 ,other bins
0.64 ,52.77 ,other bins
0.66 ,53.14 ,other bins
0.67 ,51.03 ,other bins
0.68 ,49.27 ,other bins
0.69 ,51.75 ,other bins
0.70 ,53.52 ,other bins
0.71 ,49.30 ,other bins
0.71 ,48.59 ,other bins
0.71 ,41.18 ,other bins
0.71 ,37.30 ,other bins
0.72 ,29.54 ,other bins
0.72 ,28.49 ,other bins
0.73 ,29.56 ,other bins
0.79 ,27.13 ,other bins
0.77 ,26.05 ,other bins
0.76 ,26.05 ,other bins
0.76 ,24.29 ,other bins
0.77 ,18.65 ,other bins
0.78 ,15.48 ,other bins
0.78 ,14.42 ,other bins
0.78 ,11.95 ,other bins
0.78 ,5.95 ,other bins
0.79 ,7.72 ,other bins
0.78 ,1.37 ,other bins
0.78 ,1.37 ,other bins
0.59 ,5.07 ,other bins
0.56 ,0.46 ,other bins
0.54 ,-3.08 ,other bins
0.52 ,-1.69 ,other bins
0.51 ,0.77 ,other bins
0.51 ,1.83 ,other bins
0.54 ,7.86 ,other bins
0.58 ,15.66 ,other bins
0.64 ,22.41 ,other bins
0.62 ,25.92 ,other bins
0.62 ,23.45 ,other bins
0.62 ,22.04 ,other bins
0.63 ,12.52 ,other bins
0.69 ,42.22 ,other bins
0.67 ,34.79 ,other bins
0.65 ,37.25 ,other bins
0.64 ,43.24 ,other bins
0.65 ,46.42 ,other bins
0.62 ,41.10 ,other bins
0.62 ,36.86 ,other bins
0.61 ,36.51 ,other bins
0.59 ,38.61 ,other bins
0.66 ,41.14 ,other bins
0.71 ,67.65 ,other bins
0.70 ,63.06 ,other bins
0.70 ,59.88 ,other bins
0.70 ,59.53 ,other bins
0.71 ,59.53 ,other bins
0.73 ,64.49 ,other bins
0.72 ,57.78 ,other bins
0.72 ,58.13 ,other bins
0.70 ,64.11 ,other bins
0.68 ,63.39 ,other bins
0.67 ,60.20 ,other bins
0.64 ,57.36 ,other bins
0.66 ,45.02 ,other bins
0.66 ,35.14 ,other bins
0.69 ,23.52 ,other bins
0.69 ,23.52 ,other bins
